"fincode","year_end","net_profit","net_sales_ttm","net_sales_2yr","interest_earned_growth_percentage_cons_3year","net_profit_growth_percentage_cons_3year","operating_profit_growth_percentage_cons_3year","profit_after_tax_growth_percentage_cons_3year","profit_before_tax_growth_percentage_cons_3year","eps_growth_percentage_cons_3year","net_sales_growth_percentage_cons_3year","operating_profit_margin_growth_percentage_cons_3year","net_margin_growth_percentage_cons_3year"
132349,202103,"416.1","4491.8","2802.39",NULL,"66.32060868801504","28.224673225996575","40.377459081735424","38.14370314253599","41.37382410418113","17.03001986260364","-30.977992569574596","-24.472591376625495"
106767,201703,"201.323","992.878","500.64",NULL,"97.10515935427881","40.080722353753664","57.20462836579494","48.27266922984133","15.831209922888622","25.63870384202318","-29.762687524725116","-21.29301671185203"
114215,201003,NULL,NULL,"1.02",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
132532,202103,"-963.47","6568.089999999999","6405.66",NULL,"-20.15871677446337","-4.598036704381025","-13.023873664376918","-11.975715732104808","-26.348766417781388","0.8381967053740835","-40.40009357335001","29.393031248560973"
124683,200703,NULL,NULL,"240.86",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
126538,201703,"-8.035","0.9970000000000001","13.09",NULL,"-90.67633849890346","-53.957261604007996","-53.767493725311","-53.767493725311","-52.39627005099698","-57.61113020225288","-128.81330813176564","-120.82900589129264"
100111,202103,"441.65","24247.41","19250.98",NULL,NULL,NULL,NULL,NULL,NULL,"7.995129872077356",NULL,NULL
271867,202103,"358.34000000000003","5553.96","4813.51",NULL,"-39.648256470224354","-11.93162921087757","-28.584379474692067","-27.872560159145998","-28.697087019434974","4.885058089874317","-47.104384452891765","-57.228991508958785"
132876,201303,NULL,NULL,"122.96",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
100014,201803,"2.443","1.907",NULL,NULL,"233.2348339316503","-5.512695746465046","123.10035536542982","123.10035536542982","121.45989241389876",NULL,NULL,"-7.519700501434212"
221033,202103,"204.68","3698.9","8608.43",NULL,"7.2840574176252115","-19.904829931962396","4.798916670000608","8.400742576500008","-4.509991197563679","-24.540102202862503","-33.13429138552423","-12.482746522072564"
126725,202103,"188.58599999999998","322.088","273.72",NULL,"44.77105193870725","2.5161484038555004","27.973825783030183","27.11123501719179","27.974707236606267","5.57376370823659","-38.82837984741857","-29.888427933513206"
116072,202103,"126.643","1446.5620000000001","678.68",NULL,"91.62139510137504","42.597232201495785","54.275157508891695","70.40273603870924","-13.30769913002323","28.69371378322867","-30.19809257098718","-24.637832318119003"
287643,202103,"8.28","46.507999999999996","8.95",NULL,NULL,NULL,NULL,NULL,NULL,"73.20810468519319",NULL,NULL
111605,202103,"58.702999999999996","247.317","115.66",NULL,"30.122748288497636","25.887981035722518","19.18881031639499","20.885512975332876","-30.300207653921795","28.831954039838827","-38.44320308789416","-41.69197356330192"
210036,202103,"464.696","1422.483","705.50",NULL,"50.45290224923056","33.37506372941468","31.30070152707305","31.116806032293297","31.24578899253525","26.332964969733432","-33.492530275320085","-33.79503157969641"
111447,201503,NULL,NULL,"0.47",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
132505,202103,"2444.96",NULL,"14446.15","20.166340674035954","282.5944260978707",NULL,"144.62026130662488",NULL,"137.5103158643609",NULL,NULL,NULL
132320,202103,"-0.269","0",NULL,NULL,"3.6887230436356555",NULL,"2.474520552676518","2.474520552676518","2.3538205786997057",NULL,NULL,NULL
122249,202103,"149.28900000000002","880.1379999999999","512.71",NULL,"28.97236861551107","16.260688477922656","18.485294017463282","18.981579641512546","19.50031152650289","19.73643625731829","-38.83268080471305","-37.809464510202616"
100199,202103,"39.513","2099.067","1123.62",NULL,"-54.168501139387516","-29.159971521980232","-40.55581546858822","-40.42943562329512","-40.55769615913828","23.15979198572695","-63.76544250268702","-69.69130110253768"
132416,202103,"53.85","30.330000000000002","19.49",NULL,NULL,"49.673357571069985",NULL,NULL,NULL,"15.8831229092667","72.64157429706664",NULL
267241,202103,"-0.27599999999999997","0.264","0.94",NULL,"-7.238052947636087","2.781174513307172","-4.768955317164725","11.764554324405442","-8.277259996760522","-34.51245783381795","6.348746545374484","13.494646103836017"
132780,202103,"-594.139","462.189","358.15",NULL,"-17.840122973204743","-68.97638655809159","-11.565211057302992","-6.956579870832713","-11.603366238517655","8.872505256735108","2.2260684874141123","32.90189641235561"
218548,202103,"1.366","54.312","63.55",NULL,NULL,"16.53260081138026",NULL,NULL,NULL,"-5.101339963339802","-22.64422845242876",NULL
122209,202103,"1.052","145.747",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
216924,202103,"0.648","21.079","30.88",NULL,NULL,NULL,NULL,NULL,NULL,"-11.951038625839105",NULL,NULL
282192,202103,"6.728","208.429","161.37",NULL,NULL,"12.745750238178566",NULL,"155.1052907592242",NULL,"8.904321922468927","-34.78155119025526",NULL
100235,202103,"256.24699999999996","1981.904","1188.04",NULL,"16.13829691772013","12.328755819892766","10.48847230930643","10.7813090577771","10.366316329015834","18.599770970872733","-40.334891540076526","-41.164301651580274"
221877,202103,"1928.1299999999999","14444.5","1953.04",NULL,"550.1867574452086","205.18661161341663","248.3576989795212","237.773922495264","201.85005667503276","94.83357151738738","-1.3232248690168924","12.1792221756714"
100342,202103,"6.257","104.835",NULL,NULL,"89.63061492001371",NULL,"53.20477530997574","51.63201085663181","54.69994085116474",NULL,NULL,"-67.63070889279687"
126853,202103,"-58.529999999999994","747.1800000000001","622.72",NULL,"-128.90889846373778","-8.403892647442667","-73.69012071392788","-42.15370768888125","-16.378588063938103","6.26187498484716","-45.69829283985608","-2.9949503661308885"
285668,202103,"120.33","1931.6380000000001","879.72",NULL,"786.831769974043","34.53691502159053","328.4440953805223","231.8538751543981","297.88146660717825","29.975179224705762","-34.79292959381567","108.0974473192319"
220741,202103,"-1807.4599999999998","8623.33","9927.42",NULL,NULL,"-34.03064139546919",NULL,NULL,NULL,"-4.585831475063296","-56.44452766352555",NULL
100520,202103,"14073.170000000002","159210.82","74277.78",NULL,"94.97658177781236","33.04622096818912","56.07079222032132","52.8035401951495","92.15465697540772","28.935117784415286","-34.995314974208","-23.71199364245429"
221645,202103,"414.8","3035.1","1329.94",NULL,"42.080538785769896","27.72684978576112","26.38331139673045","25.996620350025523","-28.165992251761118","31.657918748722523","-38.88494242924122","-39.58089674065541"
100106,202103,"348.61","1876.1","2066.36",NULL,NULL,NULL,NULL,NULL,NULL,"-3.168498610623638",NULL,NULL
281585,202103,"539.6479999999999","2193.302","478.37",NULL,"227.4476068434437","148.78919936991667","120.50979245147361","132.19440886233528","36.10662008537133","66.12876360777113","-5.659051642111668","-16.33139809809809"
123754,202103,"7.209999999999999","272.66999999999996","254.22",NULL,"-38.70428081665711","-18.743281228078214","-27.84162185045268","-24.924348690050422","-27.630803678655212","2.3628921551607673","-49.992940024059806","-55.54841877896124"
210174,202103,"6685.87",NULL,NULL,NULL,"83.22258051729872",NULL,"49.73362206371872","35.79273155521414","49.73355984598773",NULL,NULL,NULL
274045,202103,"218.28699999999998","1296.9","650.05",NULL,"134.87181885314033","37.45490094162054","76.69351377399298","74.27314885787143","32.920815438410656","25.888649877412618","-31.21617522233211","-11.935883368133538"
132656,202103,"-19.238","153.79500000000002","143.67",NULL,"-496.87457581912395","-34.878721522918624","-229.04506893885198","-117.9137503186955","-254.25690036182843","2.2960132031822234","16.93932637898484","-103.8259629354526"
132821,201103,NULL,NULL,"531.24",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
123319,202103,"259.274","2515.636","1528.98",NULL,"77.18042981665137","49.26763220673895","46.42340455085079","40.4635506135981","32.12998566474754","18.054351215847795","-20.34786755039828","-21.0815030568689"
117360,202103,"1.329","3.185",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
132544,200903,NULL,NULL,"2003.09",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
100875,202103,"20751.36","76840.49","49272.78",NULL,"24.522688998110343","15.595925849526559","15.744135003038483","14.800363321456267","15.294241099608708","15.965201379515982","-37.204549930772835","-36.76059054004666"
132748,202103,"-488.48999999999995","3950.5370000000003","2536.49",NULL,"-194.97936382085567","-24.02426438669346","-105.6811174351799","-147.75329290244468","-110.30346511865633","15.915361259979965","-58.709774295677754","-11.046252724619588"
200055,202103,"15884.23","56366.55","35552.84",NULL,"37.691358569017595","18.88320984135925","23.766883877109013","23.118610795961246","12.449786675283603","16.60460941065658","-35.77292556647892","-33.1464100691818"
107155,202103,"-23.22","642.25","397.65",NULL,NULL,NULL,NULL,NULL,NULL,"17.32783098901225",NULL,NULL
267389,202103,"280.404","19100.132999999998","10836.90",NULL,"95.06880525623653","14.596578464183407","56.12000242725203","16.933385497260268","68.38085838917448","20.793558414669967","-40.23579521024661","-18.622706232835018"
132380,200803,NULL,NULL,"35.72",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
284447,202103,"10.963","161.893","29.61",NULL,"190.39760541500547","115.52319568531311","103.54574146251755","60.16899859214995","3.3026030640555204","76.16916173913684","-22.928277398834563","-29.784401134300232"
100336,202103,"346.6","7435.87","5561.39",NULL,"47.96537690813063","15.152389258575937","29.849436661445882","30.075543259876003","-18.59292114205344","10.16648144964929","-34.15287605473852","-25.789935991982325"
126159,201103,NULL,NULL,"130.36",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
286637,202103,"-11.206999999999999","310.788","435.15",NULL,NULL,"-59.636860470645026",NULL,NULL,NULL,"-10.612851223216445","-71.55393581477828",NULL
132504,202103,"288.58000000000004","2349.38","1179.39",NULL,"8.078842645007622","19.943607848857138","5.315862853881392","2.0302492222199042","3.798999567284378","25.824518002084275","-39.948319004644326","-46.44815653673939"
222647,202103,NULL,NULL,"272.70",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
100155,201503,NULL,NULL,"2640.98",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
219253,202103,"10.68","295.64","252.75",NULL,"28.878401222666984","-7.904483266946006","18.42773591821767","0.7798967959681491","18.42779840261828","5.363618323846309","-44.936837791447026","-29.3978535837342"
106979,200803,NULL,NULL,"24.61",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
209097,202103,"423.66","2217.81","1905.30",NULL,"-2.3404844960775772","-1.3779722506160996","-1.56647370805566","-1.5732966228392042","-23.654945086340216","5.193036097745485","-40.93907099073255","-40.960078010895614"
210518,202103,"-27.653","47.333999999999996","75.18",NULL,"4.357250349536224","14.311139734734201","2.9263479256092406","-13.701696103401373","2.9241090508569156","-14.291552524397332","37.0188747595691","20.534806735072653"
